
1000-BAHIA COCOA REVIEW|cocoa:
1045-U.S. SUGAR IMPORTS DOWN IN WEEK - USDA|sugar:
1046-BRAZIL ANTI-INFLATION PLAN LIMPS TO ANNIVERSARY|trade:
1047-N.Z. OFFICIAL FOREIGN RESERVES FALL IN JANUARY|reserves:
1048-AGENCY REPORTS 39 SHIPS WAITING AT PANAMA CANAL|ship:
1049-AMERICA FIRST MORTGAGE SETS SPECIAL PAYOUT|earn:
1050-REPUBLICANS EYE BIGGER U.S. CONSERVATION RESERVE|force:headed:senate:expanding:charles:
1051-ARVIN INDS <ARV> PROMOTES EVANS TO PRESIDENT|industries:reuter:vice:remains:james:
1052-EMHART CORP <EMH> QTLY DIVIDEND|earn:
1053-U.S. DATA POINT TO CAPITAL SPENDING SLOWDOWN|sector:office:caused:agreed:global:
1054-SENATORS INTRODUCE EXPORT LICENSING REFORM BILL|control:development:reuter:facto:higher:
1055-AM INTERNATIONAL <AM> CITES STRONG PROSPECTS|earn:
1056-CCC CREDITS FOR HONDURAS SWITCHED TO WHITE CORN|grain:corn:
1057-ASSETS OF U.S. MONEY FUNDS ROSE IN WEEK|money:supply:
1058-GULF BARGE FREIGHT RATES UP FURTHER ON CALL|ship:
1059-ARGENTINA COULD SUSPEND DEBT PAYMENTS - DEPUTY|week:declared:suspend:observer:deputy:
1060-KEY U.S. TAX WRITERS SEEK ESTATE TAX CURBS|reuter:duncan:writing:promoting:esops:
1061-TREASURY BALANCES AT FED ROSE ON FEB 25|loan:tax:budget:accounts:totaled:
1062-CANADA'S WILSON SEEKS TEMPORARY BORROWING|reuter:financial:previously:michael:period:
1063-GULF APPLIED <GATS> SELLS UNITS, SEES GAIN|earn:
1064-FARMERS GROUP INC <FGRP> 4TH QTR NET|earn:
1065-POTOMAC ELECTRIC POWER CO <POM> JAN NET|earn:
1066-SPRINGBOARD <SPBD> IN DEAL|reuter:san:chinese:computer:signed:
1067-<COFAB INC> BUYS GULFEX FOR UNDISCLOSED AMOUNT|acq:
1068-U.S. WEEKLY SOYBEAN CRUSH 21,782,929 BUSHELS|veg:oil:soybean:oilseed:meal:feed:soy:meal:
1069-SCHULT HOMES OFFERING PRICED AT FIVE DLRS/UNIT|reuter:managed:producer:elkhart:september:
1070-TULTEX CORP <TTX> SETS QUARTERLY DIVIDEND|earn:
1071-BURLINGTON <BUR>  GETS 30.5 MLN DLR CONTRACT|industries:city:agency:menswear:division:
1072-ROCKWELL <ROK> GETS 28.3 MLN DLR B-1 CONTRACT|fiscal:received:reuter:force:rockwell:
1073-ATICO FINANCIAL CORP <ATFC> 4TH QTR NET|earn:
1074-ICO EXPORTERS TO MODIFY NEW PROPOSAL|coffee:
1075-U.S. COMMERCIAL PAPER FALLS 375 MLN DLRS IN FEB 18 WEEK, FED SAYS |money:supply:emptySet
1076-N.Y. BUSINESS LOANS FALL 195 MLN DLRS IN FEB 18 WEEK, FED SAYS |money:supply:emptySet
1077-NEW YORK BANK DISCOUNT WINDOW BORROWINGS 64 MLN DLRS IN FEB 25 WEEK |money:supply:emptySet
1078-QUEBECOR <PQB> HEAD SEES NEW VENTURES LIKELY|reuter:chain:unemployment:stream:move:
1079-NEW YORK BUSINESS LOANS FALL 195 MLN DLRS|money:supply:
1080-N.Y. BANK DISCOUNT BORROWINGS 64 MLN DLRS|money:supply:
1081-PHILIPPINE LONG DISTANCE <PHI> YEAR NET|earn:
1082-LIBERTY ALL-STAR EQUITY FUND INITIAL DIV|earn:
1083-COLUMBIA GAS SYSTEM INC <CG> REDEEMS DEBENTURES|mandatory:redeeming:requirements:addition:reuter:
1084-COMBUSTION ENGINEERING INC <CSP> REGULAR DIV|earn:
1085-TONKA CORP <TKA> RAISES DIVIDEND|earn:
1086-BDM INTERNATIONAL <BDM> INCREASES QTRLY DIVS|earn:
1087-SORG <SRG> STOCKHOLDERS FORM GROUP|composed:reuter:financial:proposed:consent:
1088-SYSTEMATICS INC <SYST> REGULAR PAYOUT|earn:
1089-TEXAS INSTRUMENTS <TXN> DEVELOPS NEW CHIP|square:version:computer:centimeter:working:
1090-CONSOLIDATED GAS <CNG>UNIT SAYS NO RULES BROKEN|reuter:polychlorinated:successfully:cleaned:pit:
1091-U.S. M-1 MONEY SUPPLY RISES 2.1 BILLION DLRS IN FEB 16 WEEK, FED SAYS |money:supply:emptySet
1092-<IVACO INC> YEAR NET|earn:
1093-U.S. BANK DISCOUNT BORROWINGS AVERAGE 310 MLN DLRS IN FEB 25 WEEK, FED SAYS |money:supply:emptySet
1094-U.S. BANK NET FREE RESERVES 644 MLN DLRS IN TWO WEEKS TO FEB 25, FED SAYS |money:supply:emptySet
1095-INVESTMENT FIRMS CUT CYCLOPS <CYL> STAKE|acq:
1096-ASCS TERMINAL MARKET VALUES FOR PIK GRAIN|grain:wheat:corn:oat:rye:sorghum:soybean:oilseed:
1097-CORADIAN CORP <CDIN> 4TH QTR NET|earn:
1098-|money:supply:emptySet
1099-N.Z. TRADING BANK DEPOSIT GROWTH RISES SLIGHTLY|money:supply:
1100-|money:supply:emptySet
1101-|money:supply:emptySet
1102-|money:supply:emptySet
1103-WORLD MARKET PRICE FOR UPLAND COTTON - USDA|cotton:
1104-SUGAR QUOTA IMPORTS DETAILED -- USDA|sugar:
1105-GRAIN SHIPS LOADING AT PORTLAND|grain:ship:
1106-IRAN ANNOUNCES END OF MAJOR OFFENSIVE IN GULF WAR|code:named:ended:london:corps:
1107-MERIDIAN BANCORP INC <MRDN> SETS REGULAR PAYOUT|earn:
1108-U.S. BANK DISCOUNT BORROWINGS 310 MLN DLRS|money:supply:
1109-AMERICAN EXPRESS <AXP> SEEN IN POSSIBLE SPINNOFF|acq:
1110-U.S. M-1 MONEY SUPPLY ROSE 2.1 BILLION DLRS|money:supply:
1111-GENERAL BINDING <GBND> IN MARKETING AGREEMENT|portable:produces:battery:operated:carry:
1112-LIBERTY ALL-STAR <USA> SETS INITIAL PAYOUT|earn:
1113-COCA COLA <KO> UNIT AND WORLD FILM IN VENTURE|sector:distribute:unit:cola:entertainment:
1114-FORD MOTOR CREDIT <F> TO REDEEM DEBENTURES|reuter:rata:pro:proceeds:principal:
1115-STERLING SOFTWARE <SSW> NOTE HOLDERS OK BUY|consent:shares:sernior:market:depending:
1116-<SCHULT HOMES CORP> MAKES INITIAL STOCK OFFER|reuter:september:scott:consists:managing:
1117-FLUOR <FLR> UNIT GETS CONSTRUCTION CONTRACT|received:reuter:covering:union:cogeneration:
1118-SUFFIELD FINANCIAL CORP <SFCP> SELLS STOCK|benjamin:purchase:financial:outstanding:colonial:
1119-<HIGH POINT FINANCIAL CORP> SETS OFFERING|mandatory:point:requiring:high:registration:
1120-CHINESE PORK OUTPUT SEEN LOWER -- USDA|carcass:livestock:
1121-LANDMARK BANCSHARES <LBC> TO BE LISTED ON NYSE|begins:board:march:bancshares:reuter:
1122-IVACO SEES MINIMAL FIRST QUARTER EARNINGS|earn:
1123-U.S. GRAIN CARLOADINGS FALL IN WEEK|grain:
1124-HONG KONG FIRM UPS WRATHER<WCO> STAKE TO 11 PCT|acq:
1125-COLECO INDUSTRIES INC <CLO> 4TH QTR|earn:
1126-DIAMOND SHAMROCK (DIA) CUTS CRUDE PRICES|crude:
1127-LIEBERT CORP <LIEB> APPROVES MERGER|acq:
1128-NORTHERN TELECOM PROPOSES TWO-FOR-ONE STOCK SPLIT |earn:emptySet
1129-COLECO INDUSTRIES <CLC> SEES PROFIT IN 1987|earn:
1130-OLIN CORP <OLM> TO ELECT NEW CEO IN APRIL|elect:executive:corp:retirement:reuter:
1131-|money:supply:emptySet
1132-|money:supply:emptySet
1133-GULF APPLIED TECHNOLOGIES <GATS> SELLS UNITS|acq:
1134-INVESTMENT GROUP RAISES ROBESON <RBSN> STAKE|acq:
1135-GAO LIKELY TO SHOW CERTS MORE COSTLY THAN CASH|grain:
1136-Venezuela seeks 'flexibility' from banks-azpurua|advisory:reuter:meetings:reschedule:talks:
1137-DAHLBERG INC <DAHL> 4TH QTR NET|earn:
1138-CITY NATIONAL CORP <CTYN> RAISES DIVIDEND|earn:
1139-<PAGE PETROLEUM LTD> YEAR LOSS|earn:
1140-THOMSON MCKINNON UNIT'S CMO OFFERING PRICED|reuter:obligations:loan:product:assigned:
1141-IDB COMMUNICATIONS GROUP INC <IDBX> YEAR NET|earn:
1142-ARMOR ALL PRODUCTS CORP <ARMR> QUARTERLY DIV|earn:
1143-OPEC MAY HAVE TO MEET TO FIRM PRICES - ANALYSTS|crude:
1144-CENERGY <CRG> REPORTS 4TH QTR NET PROFIT|earn:
1145-NORTHERN TELECOM LTD <NT> DECLARES STOCK SPLIT|earn:
1146-TORCHMARK <TMK> AUTHORIZES STOCK REPURCHASE|earn:
1147-PAINEWEBBER GROUP <PWJ> TO REDEEM DEBENTURES|outstanding:share:group:reuter:due:
1148-R.P. SCHERER <SCHC> SETS PREFERRED STOCK OFFER|proposed:exchangeable:proceeds:underwriters:richard:
1149-PARLUX FRAGRANCES COMPLETES INITIAL OFFERING|klein:share:including:consists:unis:
1150-TECHAMERICA GROUP INC <TCH> 4TH QTR LOSS|earn:
1151-WILFRED AMERICAN EDUCATIONAL <WAE> REGULAR DIV|earn:
1152-DREXEL OFFICIAL HAS STAKE IN EPSILON DATA <EPSI>|acq:
1153-PROPOSED OFFERINGS RECENTLY FILED WITH THE SEC|proposed:general:offerings:btgc:technology:
1154-VARIAN <VAR>, SIEMENS FORM JOINT VENTURE|limited:examinations:smaller:testing:associates:
1155-DU PONT <DD> WINS SUIT AGAINST PHILLIPS <P>|reuter:pont:copolymer:enjoined:determine:
1156-<NOVA> WINS GOVERNMENT OKAY FOR HUSKY <HYO> DEAL|acq:
1157-PRESIDENTIAL AIRWAYS <PAIR> PACT APPROVED|txn:unit:service:justice:reuter:
1158-ARMY TO RENEGOTIATE ITT <ITT> RADIO CONTRACT|failing:sincgars:reuters:production:single:
1159-POTOMAC ELECTRIC POWER CO <POM> JANUARY NET|earn:
1160-TORCHMARK <TMK> SELLS SINKING FUND DEBENTURES|poor:merrill:deal:maximum:coupon:
1161-SUFFIELD FINANCIAL <SSBK> GETS FED APPROVAL|acq:
1162-AFG INDUSTRIES INC <AFG> QUARTERLY DIVIDEND|earn:
1163-<GSW INC> YEAR NET|earn:
1164-SANTA ANITA REALTY <SAR> QUARTERLY DIVIDEND|earn:
1165-LIQUID AIR CORP <LANA> QUARTERLY DIVIDEND|earn:
1166-(MARSHALL STEEL LTD) YEAR NET|earn:
1167-MARSHALL STEEL DETAILS GAIN FROM UNIT SALE|earn:
1168-MAYFAIR INDUSTRIES INC <MAYF> 4TH QTR NET|earn:
1169-(CORRECTED) - BANPONCE <BDEP> PLACES NOTES|figure:dillon:national:dollar:purposes:
1170-U.S. TREASURY SAYS IT WILL PARTICIPATE WITH OTHERS IN 500 MLN DLR BRIDGE LOAN TO ARGENTINA |emptySet
1171-U.S. REGULATOR CLOSES BANKS IN TEXAS, LOUISIANA|financial:danger:glenmora:number:birmingham:
1172-OLIN <OLN> NAMES SUCCESSOR FOR CHIEF EXECUTIVE|reuter:operating:continue:april:retires:
1173-DAEWOO MOTOR TO BOOST IMPORTS OF U.S. GOODS|testing:motors:general:motor:year:
1174-BANKS EXPRESS GRAVE CONCERN ON BRAZIL DEBT MOVES|advisory:move:credits:trade:paul:
1175-LNG IMPORTS FROM ALGERIA UNLIKELY IN 1987|nat:gas:
1176-U.S. FARM CREDIT RESCUE BILL SEEN BEFORE EASTER|recess:money:agreed:executive:revamping:
1177-REPORT COULD BE FINAL BLOW FOR REGAN|rebels:office:probe:month:timing:
1178-SWISS ECONOMY IN EXCELLENT CONDITION, OECD SAYS|cpi:gnp:
1179-U.S. WHEAT BONUS TO SOVIET CALLED DORMANT|grain:wheat:
1180-U.S. TREASURY PART OF ARGENTINE BRIDGE LOAN|money:month:suspend:announcecement:imf:
1181-COMPANIES SET BID FOR CANADA HELICOPTER CONTRACT|bell:supported:replace:engaging:aimed:
1182-ALATENN RESOURCES INC <ATNG> 4TH QTR NET|earn:
1183-AMERICAN TRAVELLERS <ATVC> EXPANDS OPERATIONS|operations:life:reuter:columbia:begun:
1184-VERSATILE TO SELL UNIT TO VICON|acq:
1185-VIDEOTRON BUYS INTO EXHIBIT COMPANY|acq:
1186-<MEMOTEC DATA INC> YEAR NET|earn:
1187-ROHR INDUSTRIES <RHR> SETTLES STRIKE|workders:aerospace:agreed:chula:month:
1188-TEXACO CANADA CUTS CRUDE PRICES 64 CANADIAN CTS/BBL, PAR GRADE TO 22.26 CANADIAN DLRS |crude:emptySet
1189-BANKS EXPRESS GRAVE CONCERN ON BRAZIL DEBT MOVE|advisory:move:credits:trade:follow:
1190-TEXACO CANADA <TXC> LOWERS CRUDE POSTINGS|crude:
1191-JURY FINDS FOR DOW <DOW> IN BIRTH DEFECT CASE|application:valid:point:allegations:early:
1192-USDA SAID UNLIKELY TO BROADEN CORN BONUS OFFER|grain:corn:
1193-MARATHON PETROLEUM REDUCES CRUDE POSTINGS|crude:
1194-AGENCY VOTES TO END LOCAL NUCLEAR PLANT VETO|comment:set:reconsidered:populated:tuesday:
1195-<GEORGE WESTON LTD> YEAR NET|earn:
1196-RELIEF TO U.S. CORN/OATS GROWERS SAID LIKELY|grain:corn:oat:
1197-N.Z. MONEY SUPPLY RISES 3.6 PCT IN DECEMBER|money:supply:
1198-CIRCUIT SYSTEMS <CSYI> BUYS BOARD MAKER|acq:
1199-FALLING SOYBEAN CRUSH RATIOS CUT OUTPUT|veg:oil:oilseed:meal:feed:soybean:soy:oil:soy:meal:
1200-MAIL BOXES ETC <MAIL> 3RD QTR JAN 31 NET|earn:
1201-MUNSINGWEAR INC <MUN> 4TH QTR JAN 3 LOSS|earn:
1202-FED DATA SUGGEST STABLE U.S. MONETARY POLICY|money:supply:
1203-FEDERAL INDUSTRIES LAUNCHES EUROBOND ISSUE|bearing:eurobond:reduce:years:manager:
1204-NYSE TO STUDY REGULATION OF SECURITY INDUSTRY|caught:arsarco:investors:wall:instruments:
1205-KOREAN AIR ORDERS MCDONNELL DOUGLAS <MD> MD-11S|summer:reuter:ordered:december:operates:
1206-DELTA ROCKET BLASTS OFF FROM CAPE CANAVERAL|lifted:torn:force:disaster:crucial:
1207-JAPAN TO TRY TO OPEN MARKET TO U.S. CAR PARTS|reuter:force:devise:officials:purchasing:
1208-FRANCE FACES PRESSUE TO CHANGE POLICIES|cpi:gnp:
1209-GTI CORP <GTI> 4TH QTR OPER NET|earn:
1210-HOUSTON OIL <HO> RESERVES STUDY COMPLETED|crude:
1211-FAMOUS RESTAURANTS INC <FAMS> 4TH QTR LOSS|earn:
1212-JAPAN CONSUMER PRICES FALL 0.4 PCT IN JANUARY|cpi:
1213-AVERY <AVY> SETS TWO FOR ONE STOCK SPLIT|earn:
1214-MICROSOFT CORP <MSFT> HALTS MS-DOS IMPORTS|prohibiting:san:seizure:copies:marshals:
1215-|money:supply:emptySet
1216-JAPAN MARCH BOND COUPON SEEN UNCHANGED AT FIVE PCT|coupon:unchanged:informally:accept:year:
1217-U.S. LAUNCHES WEATHER SATELLITE|scheduled:lifted:pound:aeronautics:cover:
1218-ITALIAN COALITION MEETS AS GOVERNMENT CRISIS LOOMS|bettino:reuter:leaders:stick:deputy:
1219-N.Z. CENTRAL BANK SEES SLOWER MONEY, CREDIT GROWTH|money:supply:
1220-AVERAGE YEN CD RATES FALL IN LATEST WEEK|money:fx:interest:
1221-BRITAIN'S ALLIANCE OPPOSITION WINS BY-ELECTION|centrist:nearest:liberal:key:seat:
1222-ECONOMIC SPOTLIGHT - JAPAN EYEING FOREIGN STOCKS|reuter:yen:german:dollar:manages:
1223-TAIWAN OFFSHORE BANKING ASSETS RISE IN JANUARY|december:rest:held:asian:borrowings:
1224-JAPAN EXPECTED TO CUT BASE RATE FOR STATE BODIES|interest:
1225-JAPAN HOUSE BUDGET TALKS TO REOPEN NEXT WEEK|liberal:controversial:deliberation:sales:reopen:
1226-AUSTRALIA'S KEATING CHANGES ECONOMIC FORECASTS|gnp:bop:
1227-THAI RICE EXPORTS RISE IN WEEK ENDED FEBRUARY 24|grain:rice:
1228-TOKYO GRAIN EXCHANGE TO RAISE MARGIN REQUIREMENTS|soybean:red:bean:oilseed:
1229-MANILA SAID TO OFFER DEBT BONDS TO BANKS|advisory:reuter:years:london:committee:
1230-POLL MAJORITY DISAPPROVE OF REAGAN PRESIDENCY|remained:polled:disapprove:accomplishments:americans:
1231-PRODUCER SPLIT HEATS UP COFFEE QUOTA TALKS|coffee:
1232-ITALIAN TREASURY CUTS INTEREST ON CERTIFICATES|interest:
1233-BRITISH CONSERVATIVES AHEAD OF LABOUR IN NEW POLLS|limited:observer:results:days:britain:
1234-INDONESIAN AGRICULTURE GROWTH EXPECTED TO SLOW|grain:wheat:rice:veg:oil:soybean:sugar:rubber:copra:cake:corn:palm:oil:palmkernel:coffee:tea:plywood:soy:meal:cotton:
1235-KUWAIT SAYS NO PLANS FOR EMERGENCY OPEC TALKS|crude:
1236-INDONESIA SEEN AT CROSSROADS OVER ECONOMIC CHANGE|crude:
1237-INDIAN BUDGET COMES IN FOR WIDE CRITICISM|sector:alleviation:welcomed:money:polled:
1238-CHINA TO BORROW 390 MLN DLRS|berths:reuter:loan:highways:facilities:
1239-MANILA SAID TO OFFER DEBT BONDS TO BANKS|advisory:reuter:years:london:committee:
1240-CHINESE WHEAT CROP THREATENED BY PESTS, DISEASE|grain:wheat:
1241-SAUDI RIYAL DEPOSIT RATES REMAIN FIRM|crude:
1242-IRAN CLAIMS NEW VICTORIES NEAR BASRA|major:reuter:national:battle:soldiers:
1243-BANGLADESH MOVES AGAINST LOAN DEFAULTERS|pre:owed:shilpa:metropolitan:obligations:
1244-IRAQ SAYS IT REPELS IRANIAN ATTACK|major:khalil:positioned:area:previous:
1245-QATAR UNVEILS BUDGET FOR FISCAL 1987/88|crude:
1246-GULF BOND, STOCK MARKETS LAG BEHIND, GIB SAYS|money:fx:
1247-SAUDI ARABIA REITERATES COMMITMENT TO OPEC PACT|crude:
1248-COFFEE QUOTA TALKS CONTINUE, NO ACCORD SEEN LIKELY|coffee:
1249-NEW ZEALAND CANCELS WEEKLY T-BILL TENDER|operations:injections:expects:balances:tender:
1250-SHARE TRADING IN CHEUNG KONG GROUP SUSPENDED|major:cents:results:trading:suspended:
1251-FEBRUARY U.S. PURCHASING MANAGER INDEX FALLS|committee:indicator:seasonally:happened:steel:
1252-CANADA-EGYPT WHEAT NEGOTIATIONS TO CONTINUE|grain:wheat:
1253-INDONESIAN WHEAT IMPORTS EXPECTED TO FALL IN 1987|grain:wheat:
1254-SHULTZ LIKELY TO VISIT MOSCOW SOON|control:schultz:proposed:month:reached:
1255-ZAMBIA TO RETAIN CURRENCY AUCTION, SAYS KAUNDA|money:fx:
1256-POLISH BANKER PLEASED WITH WORLD BANK, IMF TALKS|reuter:financial:obligations:issued:national:
1257-RECORD N.Z. FUTURES VOLUMES TRADED IN FEBRUARY|december:share:high:paper:year:
1258-INDONESIAN SUGAR OUTPUT SEEN SHORT OF TARGET|sugar:
1259-NIPPON KOKAN STEEL AFFILIATES CONSIDERING MERGER|acq:
1260-Qantas Airways says will buy four Boeing 747-400's for one billion Australian |emptySet
1261-EGYPT TO HOST NINE-NATION AFRICAN TALKS THIS MONTH|chad:agreed:denis:uganda:return:
1262-EC MINISTERS CONSIDER BIG AGRICULTURE PRICE CUTS|reuter:proposed:increasingly:produced:ended:
1263-QANTAS TO BUY FOUR 747-400'S FOR ONE BILLION DLRS|reuter:september:years:jim:pct:
1264-IEL SETS 100 MLN DLR NOTE/COMMERCIAL PAPER ISSUE|industrial:issued:domestic:years:utilisation:
1265-AMERICAN EXPRESS STUDIES OPTIONS FOR SHEARSON|comment:week:reuter:financial:remained:
1266-INDONESIA UNLIKELY TO IMPORT PHILIPPINES COPRA|meal:feed:copra:cake:
1267-SRI LANKAN BANK OFFERS 250 MLN RUPEES T-BILLS|reuter:central:offered:sri:mln:
1268-STRONG EARTHQUAKE HITS NEW ZEALAND|week:smaller:mud:slip:links:
1269-PHILIPPINES HEADS CONFIDENTLY INTO DEBT TALKS|stability:london:rescheduling:principal:rescheduled:
1270-JAPAN FEBRUARY INTERIM TRADE SURPLUS JUMPS|trade:
1271-NIPPON LIGHT METAL CONTINUES ALUMINIUM OUTPUT CUT|alum:
1272-SAUDI FEBRUARY CRUDE OUTPUT PUT AT 3.5 MLN BPD|crude:
1273-INDONESIAN PALM OIL OUTPUT EXPECTED TO RISE|veg:oil:palm:oil:
1274-INDONESIAN TEA, COCOA EXPORTS SEEN UP, COFFEE DOWN|tea:cocoa:coffee:
1275-SINGAPORE EXCHANGE SEEKING NASDAQ/LONDON LINK|proposed:issued:agreed:supported:asian:
1276-INDONESIA'S EXPORTS DROP IN CALENDAR 1986|central:liquefied:gas:crude:dropped:
1277-GERMAN EUROBOND MARKET EXPECTS BREATHING SPACE|reuter:quoted:german:including:foresee:
1278-JAPAN'S NTT FORECASTS PROFITS FALL IN 1987/88|earn:
1279-SINO-U.S. VENTURE IN CHINA TO MAKE RINSING AGENTS|states:set:signed:total:investment:
1280-CHINA SIGNS WORLD BANK LOAN FOR TIANJIN PORT|ship:
1281-THAI AIRWAYS INTERNATIONAL TO ALMOST DOUBLE FLEET|months:give:september:executive:reduce:
1282-Japan February external reserves record 51.73 billion dlrs (January 51.46 billion) |reserves:emptySet
1283-JAPAN FEBRUARY RESERVES RECORD 51.73 BILLION DLRS|reserves:
1284-SIMEX TRADING VOLUME HITS RECORD IN FEBRUARY|set:nikkei:surpassing:high:trading:
1285-SHULTZ VISIT TO MOSCOW POSSIBLE, SAY SOVIETS|bessmertnykh:deputy:officials:questions:consideration:
1286-JAPAN DISTRIBUTOR MAY IMPORT MAZDA U.S.-MADE CARS|september:sales:distributor:rate:importing:
1287-IRAQ DEFERS PAYMENTS ON 500 MLN DLR EUROLOAN|reuter:agreed:years:francaises:london:
1288-TAIWAN CENTRAL BANK ISSUES CERTIFICATES OF DEPOSIT|supply:issued:years:growth:aimed:
1289-ICO TALKS ON COFFEE QUOTAS TO RESUME AT NOON|coffee:
1290-CAECL ISSUES 12 BILLION YEN EUROBOND|eurobond:pays:aide:date:manager:
1291-CHINESE BANKS TO ISSUE MORE BONDS, OFFICIAL SAYS|reuter:chinese:money:budget:high:
1292-INDIAN SUGAR OUTPUT RISES IN FIRST FOUR MONTHS|sugar:
1293-INTERNATIONAL LEISURE NEGOIATING ON BOEING LEASE|deal:negotiations:group:reuter:international:
1294-JAPAN PLANS MORE FLEXIBLE CORPORATE BOND ISSUES|proposed:issued:agreed:competitive:bring:
1295-NEW DUTCH ADVANCES TOTAL 4.8 BILLION GUILDERS|money:fx:interest:
1296-JAPAN BUYS SOME 95,000 TONNES SOYBEANS FROM CHINA|oilseed:soybean:
1297-SHV SAYS IT MAKING TENDER OFFER FOR UP TO 33 MLN SHARES IN IC GAS |acq:emptySet
1298-CHEUNG KONG (HOLDINGS) LTD <CKGH.HK> YEAR 1986|earn:
1299-TRADING DELAYED ON SINGAPORE'S NEW BILL MARKET|operations:reuter:yeo:domestic:trade:
1300-MERRILL LYNCH ISSUES 100 MLN ECU EUROBOND|eurobond:pays:luxembourg:management:reuter:
1301-WALLENBERGS FIGHT BID FOR SWEDISH MATCH STAKE|acq:
1302-INDONESIAN SOYBEAN IMPORTS FORECAST TO RISE|oilseed:soybean:meal:feed:soy:meal:
1303-SHV SAYS IT MAKING TENDER OFFER FOR IC GAS|acq:
